produto_id,sku,descricao,categoria,marca,custo_unitario,preco_lista,ativo
28,SKU0028,Suco Marca B 2000ml,Suco,Marca D,5.85,7.94,True
29,SKU0029,Energético Marca A 2000ml,Energético,Marca D,6.75,9.08,True
30,SKU0030,Energético Marca A 269ml,Energético,Marca D,4.54,7.33,True
31,SKU0031,Refrigerante Marca D 350ml,Refrigerante,Marca D,3.12,4.2,True
32,SKU0032,Energético Marca D 1500ml,Energético,Marca A,3.12,5.34,True
33,SKU0033,Chá Marca B 350ml,Chá,Marca D,6.93,12.02,True
34,SKU0034,Água Marca B 1000ml,Água,Marca A,7.12,12.11,True
35,SKU0035,Suco Marca C 1000ml,Suco,Marca D,7.52,12.35,True
36,SKU0036,Suco Marca A 2000ml,Suco,Marca C,2.92,3.74,True
37,SKU0037,Chá Marca B 269ml,Chá,Marca A,4.6,7.86,True
38,SKU0038,Refrigerante Marca B 1000ml,Refrigerante,Marca A,5.37,8.53,True
39,SKU0039,Chá Marca A 1000ml,Chá,Marca C,3.1,4.8,True
40,SKU0040,Água Marca C 1000ml,Água,Marca B,5.85,8.23,True
41,SKU0041,Suco Marca A 269ml,Suco,Marca D,4.47,7.66,True
42,SKU0042,Chá Marca B 1500ml,Chá,Marca C,7.97,10.25,True
43,SKU0043,Suco Marca C 500ml,Suco,Marca B,7.23,12.22,True
44,SKU0044,Chá Marca A 2000ml,Chá,Marca C,6.07,9.44,True
45,SKU0045,Refrigerante Marca A 269ml,Refrigerante,Marca B,7.6,10.01,True
46,SKU0046,Chá Marca C 1500ml,Chá,Marca D,2.87,4.08,True
47,SKU0047,Refrigerante Marca C 269ml,Refrigerante,Marca A,2.1,3.07,True
48,SKU0048,Água Marca D 1500ml,Água,Marca D,5.64,7.79,True
49,SKU0049,Refrigerante Marca B 1500ml,Refrigerante,Marca A,1.99,3.37,True
50,SKU0050,Chá Marca A 500ml,Chá,Marca C,5.09,7.46,True
51,SKU0051,Refrigerante Marca B 2000ml,Refrigerante,Marca A,7.34,9.95,True
52,SKU0052,Chá Marca B 350ml,Chá,Marca B,7.25,10.54,True
53,SKU0053,Água Marca C 1000ml,Água,Marca B,7.23,9.13,True
54,SKU0054,Isotônico Marca D 350ml,Isotônico,Marca B,2.2,3.71,True
55,SKU0055,Energético Marca B 350ml,Energético,Marca A,3.77,6.26,True
56,SKU0056,Energético Marca C 500ml,Energético,Marca D,3.63,6.11,True
57,SKU0057,Chá Marca C 350ml,Chá,Marca C,3.65,4.61,False
58,SKU0058,Chá Marca C 1000ml,Chá,Marca A,4.32,6.97,True
59,SKU0059,Chá Marca D 269ml,Chá,Marca B,2.74,3.49,True
60,SKU0060,Refrigerante Marca C 2000ml,Refrigerante,Marca A,7.67,13.12,True
61,SKU0061,Suco Marca C 1000ml,Suco,Marca C,4.8,7.6,True
62,SKU0062,Água Marca B 1500ml,Água,Marca C,4.23,7.28,True
63,SKU0063,Refrigerante Marca C 1000ml,Refrigerante,Marca D,3.48,4.72,True
64,SKU0064,Água Marca B 2000ml,Água,Marca A,4.82,7.94,True
65,SKU0065,Isotônico Marca B 2000ml,Isotônico,Marca C,5.61,7.95,True
66,SKU0066,Água Marca D 1500ml,Água,Marca A,2.46,3.13,True
67,SKU0067,Isotônico Marca D 1000ml,Isotônico,Marca D,5.24,8.43,True
68,SKU0068,Isotônico Marca A 1000ml,Isotônico,Marca B,5.97,10.13,True
69,SKU0069,Isotônico Marca B 269ml,Isotônico,Marca D,4.87,6.21,True
70,SKU0070,Energético Marca C 1000ml,Energético,Marca D,5.84,10.18,True
71,SKU0071,Chá Marca D 1000ml,Chá,Marca C,4.4,5.85,True
72,SKU0072,Isotônico Marca D 2000ml,Isotônico,Marca B,3.3,5.41,True
73,SKU0073,Refrigerante Marca C 500ml,Refrigerante,Marca A,6.14,8.39,True
74,SKU0074,Água Marca B 269ml,Água,Marca D,3.99,5.29,True
75,SKU0075,Chá Marca D 1000ml,Chá,Marca A,4.53,5.8,True
76,SKU0076,Chá Marca C 500ml,Chá,Marca D,3.97,4.97,True
77,SKU0077,Energético Marca B 1000ml,Energético,Marca B,5.0,8.09,True
78,SKU0078,Energético Marca D 2000ml,Energético,Marca B,1.69,2.4,True
79,SKU0079,Água Marca D 1500ml,Água,Marca A,7.87,11.94,True
80,SKU0080,Energético Marca A 500ml,Energético,Marca D,2.38,3.52,True
